City,State,Direction,Latitude,Longitude,Problem,Count
Punjab - City1,Punjab,North,31.294606,74.867123,Road Blockage,5
Punjab - City1,Punjab,North,31.287578,74.864807,Debris,3
Punjab - City1,Punjab,North,31.28382,74.874873,Debris,3
Punjab - City1,Punjab,North,31.280729,74.861202,Stalled Vehicle,3
Punjab - City1,Punjab,North,31.292129,74.873894,Oil Spill,5
Punjab - City1,Punjab,North,31.291517,74.874726,Accident,2
Punjab - City1,Punjab,North,31.296051,74.872426,Oil Spill,1
Punjab - City1,Punjab,North,31.280114,74.874701,Oil Spill,2
Punjab - City1,Punjab,North,31.281863,74.871958,Stalled Vehicle,4
Punjab - City1,Punjab,North,31.29397,74.873383,Accident,2
Punjab - City1,Punjab,North,31.292859,74.865417,Flooded Road,2
Punjab - City1,Punjab,North,31.280985,74.869412,Oil Spill,3
Punjab - City1,Punjab,North,31.282099,74.857599,Flooded Road,3
Punjab - City1,Punjab,North,31.289357,74.864205,Road Blockage,1
Punjab - City1,Punjab,North,31.278834,74.875619,Pothole,5
Punjab - City1,Punjab,North,31.295778,74.86152,Stalled Vehicle,5
Punjab - City1,Punjab,North,31.285218,74.870782,Road Blockage,4
Punjab - City1,Punjab,North,31.288651,74.866439,Oil Spill,5
Punjab - City1,Punjab,North,31.280329,74.857099,Oil Spill,1
Punjab - City1,Punjab,North,31.286925,74.872341,Accident,3
Punjab - City1,Punjab,North,31.285153,74.875188,Road Blockage,5
Punjab - City1,Punjab,North,31.282805,74.873171,Flooded Road,5
Punjab - City1,Punjab,North,31.282713,74.864379,Oil Spill,3
Punjab - City1,Punjab,North,31.287615,74.860048,Oil Spill,2
Punjab - City1,Punjab,North,31.288837,74.86223,Debris,3
Punjab - City1,Punjab,North,31.282265,74.864809,Road Blockage,4
Punjab - City1,Punjab,North,31.285363,74.869724,Tree Fallen,2
Punjab - City2,Punjab,North,30.925306,75.060087,Road Blockage,1
Punjab - City2,Punjab,North,30.928497,75.069434,Flooded Road,2
Punjab - City2,Punjab,North,30.92826,75.057358,Debris,2
Punjab - City2,Punjab,North,30.931808,75.066636,Stalled Vehicle,4
Punjab - City2,Punjab,North,30.920418,75.067006,Accident,4
Punjab - City2,Punjab,North,30.922017,75.059291,Debris,1
Punjab - City2,Punjab,North,30.927697,75.058788,Tree Fallen,1
Punjab - City2,Punjab,North,30.923277,75.07276,Stalled Vehicle,4
Punjab - City2,Punjab,North,30.914796,75.063704,Road Blockage,4
Punjab - City2,Punjab,North,30.924382,75.068796,Oil Spill,5
Punjab - City2,Punjab,North,30.921047,75.057594,Tree Fallen,4
Punjab - City2,Punjab,North,30.917313,75.059356,Flooded Road,5
Punjab - City2,Punjab,North,30.921821,75.059196,Tree Fallen,1
Punjab - City2,Punjab,North,30.9264,75.059101,Road Blockage,3
Punjab - City2,Punjab,North,30.92999,75.056023,Pothole,2
Punjab - City2,Punjab,North,30.91979,75.057467,Accident,1
Punjab - City2,Punjab,North,30.920426,75.061029,Tree Fallen,4
Punjab - City2,Punjab,North,30.913374,75.071069,Oil Spill,5
Punjab - City2,Punjab,North,30.93105,75.054802,Oil Spill,4
Punjab - City2,Punjab,North,30.912247,75.061446,Oil Spill,4
Punjab - City2,Punjab,North,30.922893,75.069104,Accident,4
Punjab - City2,Punjab,North,30.916517,75.063128,Debris,4
Punjab - City2,Punjab,North,30.918852,75.067994,Oil Spill,2
Punjab - City2,Punjab,North,30.928939,75.072802,Debris,4
Punjab - City2,Punjab,North,30.923967,75.067671,Stalled Vehicle,4
Punjab - City2,Punjab,North,30.914843,75.063645,Debris,3
Punjab - City2,Punjab,North,30.919711,75.058644,Road Blockage,3
Punjab - City3,Punjab,North,31.388796,75.515482,Oil Spill,3
Punjab - City3,Punjab,North,31.390269,75.517305,Debris,3
Punjab - City3,Punjab,North,31.378055,75.509271,Debris,1
Punjab - City3,Punjab,North,31.392563,75.511886,Debris,5
Punjab - City3,Punjab,North,31.376619,75.510423,Stalled Vehicle,5
Punjab - City3,Punjab,North,31.392526,75.5172,Flooded Road,3
Punjab - City3,Punjab,North,31.376927,75.520044,Stalled Vehicle,2
Punjab - City3,Punjab,North,31.392865,75.510061,Debris,3
Punjab - City3,Punjab,North,31.385087,75.52606,Oil Spill,4
Punjab - City3,Punjab,North,31.3924,75.511866,Accident,1
Punjab - City3,Punjab,North,31.387515,75.513931,Stalled Vehicle,5
Punjab - City3,Punjab,North,31.389224,75.514843,Oil Spill,3
Punjab - City3,Punjab,North,31.37495,75.52085,Debris,4
Punjab - City3,Punjab,North,31.390018,75.51001,Road Blockage,4
Punjab - City3,Punjab,North,31.387717,75.516609,Flooded Road,5
Punjab - City3,Punjab,North,31.389735,75.518662,Tree Fallen,4
Punjab - City3,Punjab,North,31.382282,75.52252,Flooded Road,3
Punjab - City3,Punjab,North,31.390605,75.524514,Stalled Vehicle,3
Punjab - City3,Punjab,North,31.391204,75.512776,Tree Fallen,5
Punjab - City3,Punjab,North,31.385778,75.515479,Debris,4
Punjab - City3,Punjab,North,31.39059,75.511536,Accident,3
Punjab - City3,Punjab,North,31.389528,75.514706,Flooded Road,5
Punjab - City3,Punjab,North,31.373774,75.52686,Stalled Vehicle,2
Punjab - City3,Punjab,North,31.387972,75.517671,Accident,4
Punjab - City3,Punjab,North,31.386489,75.517715,Debris,1
Punjab - City3,Punjab,North,31.379456,75.515987,Accident,3
Punjab - City3,Punjab,North,31.38685,75.515279,Road Blockage,4
Punjab - City4,Punjab,North,31.549213,74.929147,Road Blockage,4
Punjab - City4,Punjab,North,31.534698,74.923167,Stalled Vehicle,2
Punjab - City4,Punjab,North,31.535591,74.932997,Pothole,2
Punjab - City4,Punjab,North,31.533608,74.927823,Flooded Road,1
Punjab - City4,Punjab,North,31.545933,74.924064,Road Blockage,2
Punjab - City4,Punjab,North,31.535325,74.932299,Pothole,3
Punjab - City4,Punjab,North,31.53019,74.91923,Flooded Road,2
Punjab - City4,Punjab,North,31.542037,74.933195,Stalled Vehicle,1
Punjab - City4,Punjab,North,31.540761,74.927527,Tree Fallen,3
Punjab - City4,Punjab,North,31.532967,74.919167,Tree Fallen,1
Punjab - City4,Punjab,North,31.545722,74.926153,Stalled Vehicle,5
Punjab - City4,Punjab,North,31.541869,74.919211,Pothole,5
Punjab - City4,Punjab,North,31.548263,74.919843,Accident,1
Punjab - City4,Punjab,North,31.540441,74.926462,Accident,5
Punjab - City4,Punjab,North,31.536888,74.936309,Flooded Road,5
Punjab - City4,Punjab,North,31.549081,74.924247,Debris,5
Punjab - City4,Punjab,North,31.548482,74.920124,Accident,2
Punjab - City4,Punjab,North,31.534573,74.919763,Accident,2
Punjab - City4,Punjab,North,31.54032,74.92127,Oil Spill,4
Punjab - City4,Punjab,North,31.543067,74.927537,Debris,2
Punjab - City4,Punjab,North,31.535042,74.923793,Tree Fallen,1
Punjab - City4,Punjab,North,31.543028,74.936617,Accident,4
Punjab - City4,Punjab,North,31.531576,74.922635,Pothole,3
Punjab - City4,Punjab,North,31.545813,74.919567,Pothole,3
Punjab - City4,Punjab,North,31.541181,74.934624,Flooded Road,4
Punjab - City4,Punjab,North,31.531767,74.931913,Oil Spill,3
Punjab - City4,Punjab,North,31.539289,74.928015,Stalled Vehicle,5
Punjab - City5,Punjab,North,31.059819,74.869638,Road Blockage,5
Punjab - City5,Punjab,North,31.064029,74.862824,Debris,3
Punjab - City5,Punjab,North,31.070547,74.876259,Pothole,4
Punjab - City5,Punjab,North,31.069401,74.869842,Flooded Road,2
Punjab - City5,Punjab,North,31.078961,74.869715,Tree Fallen,1
Punjab - City5,Punjab,North,31.068422,74.869164,Road Blockage,1
Punjab - City5,Punjab,North,31.076177,74.867593,Tree Fallen,3
Punjab - City5,Punjab,North,31.072274,74.869006,Debris,4
Punjab - City5,Punjab,North,31.060783,74.866045,Stalled Vehicle,4
Punjab - City5,Punjab,North,31.07632,74.877496,Debris,5
Punjab - City5,Punjab,North,31.068262,74.862081,Road Blockage,5
Punjab - City5,Punjab,North,31.074151,74.873505,Debris,2
Punjab - City5,Punjab,North,31.064363,74.863617,Flooded Road,4
Punjab - City5,Punjab,North,31.076639,74.870691,Debris,5
Punjab - City5,Punjab,North,31.075008,74.875193,Flooded Road,5
Punjab - City5,Punjab,North,31.059295,74.869157,Accident,1
Punjab - City5,Punjab,North,31.068251,74.863346,Pothole,4
Punjab - City5,Punjab,North,31.077675,74.866834,Flooded Road,4
Punjab - City5,Punjab,North,31.075716,74.880602,Accident,4
Punjab - City5,Punjab,North,31.070047,74.868669,Pothole,1
Punjab - City5,Punjab,North,31.064547,74.876797,Oil Spill,3
Punjab - City5,Punjab,North,31.077707,74.871152,Debris,3
Punjab - City5,Punjab,North,31.073543,74.877747,Tree Fallen,2
Punjab - City5,Punjab,North,31.067953,74.870684,Road Blockage,5
Punjab - City5,Punjab,North,31.074279,74.868541,Road Blockage,2
Punjab - City5,Punjab,North,31.078637,74.865773,Oil Spill,2
Punjab - City5,Punjab,North,31.076142,74.869213,Road Blockage,4
Punjab - City6,Punjab,North,30.869843,75.352783,Oil Spill,2
Punjab - City6,Punjab,North,30.865645,75.337295,Road Blockage,1
Punjab - City6,Punjab,North,30.873222,75.345361,Tree Fallen,1
Punjab - City6,Punjab,North,30.870187,75.344755,Pothole,1
Punjab - City6,Punjab,North,30.865128,75.355939,Road Blockage,5
Punjab - City6,Punjab,North,30.869592,75.349552,Road Blockage,5
Punjab - City6,Punjab,North,30.863338,75.342888,Tree Fallen,5
Punjab - City6,Punjab,North,30.856456,75.337923,Flooded Road,2
Punjab - City6,Punjab,North,30.870673,75.345234,Stalled Vehicle,1
Punjab - City6,Punjab,North,30.864612,75.350435,Debris,1
Punjab - City6,Punjab,North,30.862225,75.337677,Road Blockage,3
Punjab - City6,Punjab,North,30.864352,75.341439,Oil Spill,5
Punjab - City6,Punjab,North,30.869374,75.340156,Pothole,1
Punjab - City6,Punjab,North,30.867928,75.344206,Accident,4
Punjab - City6,Punjab,North,30.873995,75.339417,Tree Fallen,3
Punjab - City6,Punjab,North,30.864929,75.349892,Tree Fallen,3
Punjab - City6,Punjab,North,30.86929,75.339715,Tree Fallen,3
Punjab - City6,Punjab,North,30.875491,75.342538,Oil Spill,3
Punjab - City6,Punjab,North,30.864875,75.342597,Oil Spill,4
Punjab - City6,Punjab,North,30.857871,75.344182,Road Blockage,5
Punjab - City6,Punjab,North,30.861655,75.350541,Debris,4
Punjab - City6,Punjab,North,30.861228,75.347874,Debris,5
Punjab - City6,Punjab,North,30.870641,75.353212,Flooded Road,2
Punjab - City6,Punjab,North,30.867879,75.343601,Accident,5
Punjab - City6,Punjab,North,30.860751,75.351667,Pothole,1
Punjab - City6,Punjab,North,30.873806,75.349482,Flooded Road,4
Punjab - City6,Punjab,North,30.856405,75.343852,Pothole,1
Punjab - City7,Punjab,North,30.681829,75.036572,Oil Spill,2
Punjab - City7,Punjab,North,30.667652,75.045768,Road Blockage,5
Punjab - City7,Punjab,North,30.673672,75.035489,Pothole,3
Punjab - City7,Punjab,North,30.681917,75.048922,Flooded Road,3
Punjab - City7,Punjab,North,30.679721,75.039405,Stalled Vehicle,2
Punjab - City7,Punjab,North,30.678719,75.03455,Oil Spill,5
Punjab - City7,Punjab,North,30.670952,75.045852,Debris,3
Punjab - City7,Punjab,North,30.674367,75.039134,Flooded Road,5
Punjab - City7,Punjab,North,30.671257,75.042809,Road Blockage,1
Punjab - City7,Punjab,North,30.677133,75.039468,Road Blockage,5
Punjab - City7,Punjab,North,30.668063,75.031302,Tree Fallen,3
Punjab - City7,Punjab,North,30.676621,75.032372,Debris,1
Punjab - City7,Punjab,North,30.669723,75.03989,Stalled Vehicle,2
Punjab - City7,Punjab,North,30.681381,75.032751,Tree Fallen,3
Punjab - City7,Punjab,North,30.677046,75.044901,Oil Spill,5
Punjab - City7,Punjab,North,30.678481,75.033128,Oil Spill,1
Punjab - City7,Punjab,North,30.68031,75.042351,Flooded Road,1
